Fold 1
Train loss: 0.6884, Validation loss: 0.6793, Validation acc: 0.7851
Train loss: 0.6281, Validation loss: 0.5149, Validation acc: 0.8080
Train loss: 0.3917, Validation loss: 0.3018, Validation acc: 0.8798
Train loss: 0.2805, Validation loss: 0.2481, Validation acc: 0.9030
Train loss: 0.2481, Validation loss: 0.2297, Validation acc: 0.9127
Train loss: 0.2295, Validation loss: 0.2158, Validation acc: 0.9201
Train loss: 0.2185, Validation loss: 0.2195, Validation acc: 0.9203
Train loss: 0.2097, Validation loss: 0.2060, Validation acc: 0.9230
Train loss: 0.2033, Validation loss: 0.2064, Validation acc: 0.9201
Train loss: 0.1962, Validation loss: 0.1929, Validation acc: 0.9292
Train loss: 0.1917, Validation loss: 0.1885, Validation acc: 0.9310
Train loss: 0.1880, Validation loss: 0.1999, Validation acc: 0.9291
Train loss: 0.1834, Validation loss: 0.1889, Validation acc: 0.9326
Train loss: 0.1805, Validation loss: 0.2072, Validation acc: 0.9271
Train loss: 0.1769, Validation loss: 0.1788, Validation acc: 0.9339
Train loss: 0.1730, Validation loss: 0.1765, Validation acc: 0.9333
Train loss: 0.1694, Validation loss: 0.1801, Validation acc: 0.9351
Train loss: 0.1672, Validation loss: 0.1720, Validation acc: 0.9364
Train loss: 0.1639, Validation loss: 0.2257, Validation acc: 0.9150
Train loss: 0.1619, Validation loss: 0.1687, Validation acc: 0.9360
Train loss: 0.1586, Validation loss: 0.1675, Validation acc: 0.9377
Train loss: 0.1554, Validation loss: 0.1676, Validation acc: 0.9382
Train loss: 0.1530, Validation loss: 0.1642, Validation acc: 0.9386
Train loss: 0.1502, Validation loss: 0.1765, Validation acc: 0.9375
Train loss: 0.1481, Validation loss: 0.1768, Validation acc: 0.9354
Train loss: 0.1458, Validation loss: 0.1626, Validation acc: 0.9409
Train loss: 0.1414, Validation loss: 0.1588, Validation acc: 0.9417
Train loss: 0.1405, Validation loss: 0.1581, Validation acc: 0.9420
Train loss: 0.1366, Validation loss: 0.1579, Validation acc: 0.9424
Train loss: 0.1354, Validation loss: 0.1587, Validation acc: 0.9441
Train loss: 0.1328, Validation loss: 0.1554, Validation acc: 0.9448
Train loss: 0.1305, Validation loss: 0.1534, Validation acc: 0.9436
Train loss: 0.1285, Validation loss: 0.1709, Validation acc: 0.9379
Train loss: 0.1245, Validation loss: 0.1538, Validation acc: 0.9455
Train loss: 0.1229, Validation loss: 0.1603, Validation acc: 0.9457
Train loss: 0.1208, Validation loss: 0.1501, Validation acc: 0.9471
Train loss: 0.1192, Validation loss: 0.1993, Validation acc: 0.9303
Train loss: 0.1172, Validation loss: 0.1495, Validation acc: 0.9479
Train loss: 0.1140, Validation loss: 0.1730, Validation acc: 0.9436
Train loss: 0.1119, Validation loss: 0.1496, Validation acc: 0.9478
Train loss: 0.1102, Validation loss: 0.1460, Validation acc: 0.9484
Train loss: 0.1067, Validation loss: 0.1670, Validation acc: 0.9441
Train loss: 0.1062, Validation loss: 0.1646, Validation acc: 0.9423
Train loss: 0.1043, Validation loss: 0.1657, Validation acc: 0.9403
Train loss: 0.1010, Validation loss: 0.1439, Validation acc: 0.9502
Train loss: 0.0997, Validation loss: 0.1520, Validation acc: 0.9481
Train loss: 0.0978, Validation loss: 0.1913, Validation acc: 0.9363
Train loss: 0.0966, Validation loss: 0.2000, Validation acc: 0.9281
Train loss: 0.0941, Validation loss: 0.1426, Validation acc: 0.9507
Train loss: 0.0915, Validation loss: 0.1426, Validation acc: 0.9513
Train loss: 0.0902, Validation loss: 0.1397, Validation acc: 0.9523
Train loss: 0.0876, Validation loss: 0.1398, Validation acc: 0.9531
Train loss: 0.0847, Validation loss: 0.1414, Validation acc: 0.9520
Train loss: 0.0839, Validation loss: 0.1434, Validation acc: 0.9510
Train loss: 0.0811, Validation loss: 0.1397, Validation acc: 0.9533
Train loss: 0.0801, Validation loss: 0.1558, Validation acc: 0.9489
Train loss: 0.0770, Validation loss: 0.1461, Validation acc: 0.9523
Train loss: 0.0757, Validation loss: 0.2215, Validation acc: 0.9206
Train loss: 0.0736, Validation loss: 0.1471, Validation acc: 0.9505
Train loss: 0.0732, Validation loss: 0.1649, Validation acc: 0.9454
Train loss: 0.0713, Validation loss: 0.1441, Validation acc: 0.9510
Train loss: 0.0696, Validation loss: 0.1418, Validation acc: 0.9537
Train loss: 0.0684, Validation loss: 0.1443, Validation acc: 0.9517
Train loss: 0.0660, Validation loss: 0.1427, Validation acc: 0.9544
Train loss: 0.0658, Validation loss: 0.2021, Validation acc: 0.9322
Train loss: 0.0639, Validation loss: 0.1484, Validation acc: 0.9551
Train loss: 0.0613, Validation loss: 0.1391, Validation acc: 0.9548
Train loss: 0.0584, Validation loss: 0.1440, Validation acc: 0.9558
Train loss: 0.0580, Validation loss: 0.1425, Validation acc: 0.9544
Train loss: 0.0581, Validation loss: 0.6592, Validation acc: 0.7648
Train loss: 0.0576, Validation loss: 0.1617, Validation acc: 0.9514
Train loss: 0.0551, Validation loss: 0.1417, Validation acc: 0.9538
Train loss: 0.0527, Validation loss: 0.1428, Validation acc: 0.9550
Train loss: 0.0511, Validation loss: 0.1423, Validation acc: 0.9560
Train loss: 0.0505, Validation loss: 0.1487, Validation acc: 0.9558
Train loss: 0.0475, Validation loss: 0.1437, Validation acc: 0.9550
Train loss: 0.0462, Validation loss: 0.1441, Validation acc: 0.9561
Train loss: 0.0451, Validation loss: 0.1445, Validation acc: 0.9565
Train loss: 0.0428, Validation loss: 0.1486, Validation acc: 0.9551
Train loss: 0.0434, Validation loss: 0.1472, Validation acc: 0.9554
Train loss: 0.0433, Validation loss: 0.1512, Validation acc: 0.9564
Train loss: 0.0400, Validation loss: 0.1493, Validation acc: 0.9560
Train loss: 0.0396, Validation loss: 0.2532, Validation acc: 0.9184
Train loss: 0.0392, Validation loss: 0.1481, Validation acc: 0.9558
Train loss: 0.0369, Validation loss: 0.1790, Validation acc: 0.9453
Train loss: 0.0363, Validation loss: 0.1472, Validation acc: 0.9562
Train loss: 0.0350, Validation loss: 0.1518, Validation acc: 0.9555
Train loss: 0.0353, Validation loss: 0.1474, Validation acc: 0.9571
Train loss: 0.0327, Validation loss: 0.1544, Validation acc: 0.9543
Train loss: 0.0322, Validation loss: 0.1472, Validation acc: 0.9572
Train loss: 0.0321, Validation loss: 0.1551, Validation acc: 0.9543
Train loss: 0.0305, Validation loss: 0.1623, Validation acc: 0.9537
Train loss: 0.0295, Validation loss: 0.1520, Validation acc: 0.9574
Train loss: 0.0284, Validation loss: 0.1499, Validation acc: 0.9568
Train loss: 0.0287, Validation loss: 0.1496, Validation acc: 0.9574
Train loss: 0.0286, Validation loss: 0.1529, Validation acc: 0.9565
Train loss: 0.0268, Validation loss: 0.1521, Validation acc: 0.9586
Train loss: 0.0264, Validation loss: 0.1544, Validation acc: 0.9581
Train loss: 0.0254, Validation loss: 0.3096, Validation acc: 0.9060
Train loss: 0.0259, Validation loss: 0.1586, Validation acc: 0.9574
Fold 2
Train loss: 0.6885, Validation loss: 0.6801, Validation acc: 0.7417
Train loss: 0.6331, Validation loss: 0.5220, Validation acc: 0.8149
Train loss: 0.3967, Validation loss: 0.3042, Validation acc: 0.8830
Train loss: 0.2813, Validation loss: 0.2526, Validation acc: 0.9054
Train loss: 0.2474, Validation loss: 0.2366, Validation acc: 0.9139
Train loss: 0.2312, Validation loss: 0.2173, Validation acc: 0.9202
Train loss: 0.2191, Validation loss: 0.2096, Validation acc: 0.9254
Train loss: 0.2110, Validation loss: 0.2129, Validation acc: 0.9271
Train loss: 0.2042, Validation loss: 0.1946, Validation acc: 0.9319
Train loss: 0.1979, Validation loss: 0.1902, Validation acc: 0.9327
Train loss: 0.1932, Validation loss: 0.1914, Validation acc: 0.9333
Train loss: 0.1889, Validation loss: 0.1868, Validation acc: 0.9354
Train loss: 0.1840, Validation loss: 0.1816, Validation acc: 0.9367
Train loss: 0.1805, Validation loss: 0.1772, Validation acc: 0.9386
Train loss: 0.1766, Validation loss: 0.1758, Validation acc: 0.9392
Train loss: 0.1733, Validation loss: 0.1767, Validation acc: 0.9384
Train loss: 0.1719, Validation loss: 0.1721, Validation acc: 0.9402
Train loss: 0.1693, Validation loss: 0.1693, Validation acc: 0.9396
Train loss: 0.1659, Validation loss: 0.1832, Validation acc: 0.9323
Train loss: 0.1630, Validation loss: 0.1691, Validation acc: 0.9406
Train loss: 0.1601, Validation loss: 0.1662, Validation acc: 0.9407
Train loss: 0.1575, Validation loss: 0.1624, Validation acc: 0.9433
Train loss: 0.1546, Validation loss: 0.1589, Validation acc: 0.9445
Train loss: 0.1520, Validation loss: 0.1639, Validation acc: 0.9419
Train loss: 0.1495, Validation loss: 0.1568, Validation acc: 0.9443
Train loss: 0.1491, Validation loss: 0.2883, Validation acc: 0.8911
Train loss: 0.1464, Validation loss: 0.1525, Validation acc: 0.9471
Train loss: 0.1428, Validation loss: 0.1527, Validation acc: 0.9465
Train loss: 0.1401, Validation loss: 0.1495, Validation acc: 0.9469
Train loss: 0.1373, Validation loss: 0.1535, Validation acc: 0.9454
Train loss: 0.1348, Validation loss: 0.1465, Validation acc: 0.9500
Train loss: 0.1335, Validation loss: 0.1461, Validation acc: 0.9490
Train loss: 0.1300, Validation loss: 0.1449, Validation acc: 0.9495
Train loss: 0.1277, Validation loss: 0.1436, Validation acc: 0.9495
Train loss: 0.1254, Validation loss: 0.1427, Validation acc: 0.9513
Train loss: 0.1231, Validation loss: 0.1411, Validation acc: 0.9513
Train loss: 0.1220, Validation loss: 0.1718, Validation acc: 0.9369
Train loss: 0.1190, Validation loss: 0.1492, Validation acc: 0.9520
Train loss: 0.1159, Validation loss: 0.1368, Validation acc: 0.9541
Train loss: 0.1140, Validation loss: 0.1391, Validation acc: 0.9516
Train loss: 0.1117, Validation loss: 0.1369, Validation acc: 0.9538
Train loss: 0.1098, Validation loss: 0.1350, Validation acc: 0.9559
Train loss: 0.1067, Validation loss: 0.1358, Validation acc: 0.9545
Train loss: 0.1051, Validation loss: 0.1338, Validation acc: 0.9568
Train loss: 0.1034, Validation loss: 0.1357, Validation acc: 0.9545
Train loss: 0.0998, Validation loss: 0.1346, Validation acc: 0.9558
Train loss: 0.0991, Validation loss: 0.1314, Validation acc: 0.9575
Train loss: 0.0967, Validation loss: 0.1710, Validation acc: 0.9376
Train loss: 0.0943, Validation loss: 0.1311, Validation acc: 0.9571
Train loss: 0.0917, Validation loss: 0.1310, Validation acc: 0.9574
Train loss: 0.0899, Validation loss: 0.1320, Validation acc: 0.9567
Train loss: 0.0867, Validation loss: 0.1315, Validation acc: 0.9571
Train loss: 0.0850, Validation loss: 0.1286, Validation acc: 0.9585
Train loss: 0.0833, Validation loss: 0.1326, Validation acc: 0.9567
Train loss: 0.0819, Validation loss: 0.1288, Validation acc: 0.9596
Train loss: 0.0793, Validation loss: 0.1328, Validation acc: 0.9571
Train loss: 0.0779, Validation loss: 0.1339, Validation acc: 0.9545
Train loss: 0.0764, Validation loss: 0.1301, Validation acc: 0.9585
Train loss: 0.0746, Validation loss: 0.1294, Validation acc: 0.9607
Train loss: 0.0730, Validation loss: 0.1302, Validation acc: 0.9582
Train loss: 0.0704, Validation loss: 0.1262, Validation acc: 0.9609
Train loss: 0.0697, Validation loss: 0.1418, Validation acc: 0.9512
Train loss: 0.0680, Validation loss: 0.3357, Validation acc: 0.8680
Train loss: 0.0655, Validation loss: 0.1280, Validation acc: 0.9588
Train loss: 0.0631, Validation loss: 0.1274, Validation acc: 0.9612
Train loss: 0.0619, Validation loss: 0.1320, Validation acc: 0.9571
Train loss: 0.0592, Validation loss: 0.2000, Validation acc: 0.9327
Train loss: 0.0581, Validation loss: 0.1280, Validation acc: 0.9614
Train loss: 0.0578, Validation loss: 0.1322, Validation acc: 0.9585
Train loss: 0.0554, Validation loss: 0.1335, Validation acc: 0.9574
Train loss: 0.0533, Validation loss: 0.1308, Validation acc: 0.9572
Train loss: 0.0528, Validation loss: 0.1304, Validation acc: 0.9613
Train loss: 0.0514, Validation loss: 0.3508, Validation acc: 0.8587
Train loss: 0.0504, Validation loss: 0.1326, Validation acc: 0.9586
Train loss: 0.0482, Validation loss: 0.1293, Validation acc: 0.9631
Train loss: 0.0479, Validation loss: 0.1312, Validation acc: 0.9603
Train loss: 0.0468, Validation loss: 0.3152, Validation acc: 0.9034
Train loss: 0.0466, Validation loss: 0.1306, Validation acc: 0.9621
Train loss: 0.0437, Validation loss: 0.1516, Validation acc: 0.9499
Train loss: 0.0425, Validation loss: 0.1411, Validation acc: 0.9600
Train loss: 0.0415, Validation loss: 0.2360, Validation acc: 0.9253
Train loss: 0.0403, Validation loss: 0.4595, Validation acc: 0.8236
Train loss: 0.0401, Validation loss: 0.1322, Validation acc: 0.9623
Train loss: 0.0376, Validation loss: 0.1325, Validation acc: 0.9606
Train loss: 0.0372, Validation loss: 0.3084, Validation acc: 0.8919
Train loss: 0.0361, Validation loss: 0.1389, Validation acc: 0.9579
Train loss: 0.0338, Validation loss: 0.1362, Validation acc: 0.9605
Train loss: 0.0325, Validation loss: 0.1528, Validation acc: 0.9536
Train loss: 0.0332, Validation loss: 0.1515, Validation acc: 0.9544
Train loss: 0.0312, Validation loss: 0.1356, Validation acc: 0.9607
Train loss: 0.0302, Validation loss: 0.1378, Validation acc: 0.9603
Train loss: 0.0295, Validation loss: 0.1389, Validation acc: 0.9610
Train loss: 0.0287, Validation loss: 0.1413, Validation acc: 0.9581
Train loss: 0.0293, Validation loss: 0.1868, Validation acc: 0.9429
Train loss: 0.0283, Validation loss: 0.1414, Validation acc: 0.9610
Train loss: 0.0263, Validation loss: 0.1411, Validation acc: 0.9595
Train loss: 0.0260, Validation loss: 0.1620, Validation acc: 0.9603
Train loss: 0.0249, Validation loss: 0.1393, Validation acc: 0.9606
Train loss: 0.0246, Validation loss: 0.4071, Validation acc: 0.8698
Train loss: 0.0257, Validation loss: 0.1419, Validation acc: 0.9613
Fold 3
Train loss: 0.6881, Validation loss: 0.6789, Validation acc: 0.7828
Train loss: 0.6294, Validation loss: 0.5124, Validation acc: 0.8108
Train loss: 0.3914, Validation loss: 0.3051, Validation acc: 0.8853
Train loss: 0.2794, Validation loss: 0.2551, Validation acc: 0.9047
Train loss: 0.2453, Validation loss: 0.2342, Validation acc: 0.9143
Train loss: 0.2287, Validation loss: 0.2257, Validation acc: 0.9189
Train loss: 0.2177, Validation loss: 0.2145, Validation acc: 0.9230
Train loss: 0.2080, Validation loss: 0.2073, Validation acc: 0.9270
Train loss: 0.2008, Validation loss: 0.2038, Validation acc: 0.9275
Train loss: 0.1951, Validation loss: 0.1979, Validation acc: 0.9302
Train loss: 0.1904, Validation loss: 0.1990, Validation acc: 0.9282
Train loss: 0.1850, Validation loss: 0.2029, Validation acc: 0.9244
Train loss: 0.1799, Validation loss: 0.1894, Validation acc: 0.9341
Train loss: 0.1773, Validation loss: 0.1870, Validation acc: 0.9334
Train loss: 0.1745, Validation loss: 0.2268, Validation acc: 0.9160
Train loss: 0.1713, Validation loss: 0.1995, Validation acc: 0.9277
Train loss: 0.1671, Validation loss: 0.2020, Validation acc: 0.9270
Train loss: 0.1642, Validation loss: 0.1845, Validation acc: 0.9353
Train loss: 0.1603, Validation loss: 0.1788, Validation acc: 0.9362
Train loss: 0.1580, Validation loss: 0.1907, Validation acc: 0.9295
Train loss: 0.1562, Validation loss: 0.1766, Validation acc: 0.9371
Train loss: 0.1524, Validation loss: 0.1980, Validation acc: 0.9288
Train loss: 0.1501, Validation loss: 0.1754, Validation acc: 0.9367
Train loss: 0.1486, Validation loss: 0.1785, Validation acc: 0.9361
Train loss: 0.1454, Validation loss: 0.1710, Validation acc: 0.9388
Train loss: 0.1421, Validation loss: 0.1840, Validation acc: 0.9334
Train loss: 0.1400, Validation loss: 0.1705, Validation acc: 0.9391
Train loss: 0.1366, Validation loss: 0.1689, Validation acc: 0.9400
Train loss: 0.1342, Validation loss: 0.2380, Validation acc: 0.9163
Train loss: 0.1323, Validation loss: 0.1669, Validation acc: 0.9410
Train loss: 0.1300, Validation loss: 0.1663, Validation acc: 0.9412
Train loss: 0.1276, Validation loss: 0.1740, Validation acc: 0.9406
Train loss: 0.1246, Validation loss: 0.1617, Validation acc: 0.9431
Train loss: 0.1219, Validation loss: 0.1606, Validation acc: 0.9427
Train loss: 0.1209, Validation loss: 0.1616, Validation acc: 0.9424
Train loss: 0.1181, Validation loss: 0.1615, Validation acc: 0.9427
Train loss: 0.1157, Validation loss: 0.1588, Validation acc: 0.9440
Train loss: 0.1137, Validation loss: 0.1570, Validation acc: 0.9458
Train loss: 0.1117, Validation loss: 0.1605, Validation acc: 0.9447
Train loss: 0.1094, Validation loss: 0.1592, Validation acc: 0.9444
Train loss: 0.1068, Validation loss: 0.1645, Validation acc: 0.9434
Train loss: 0.1047, Validation loss: 0.1587, Validation acc: 0.9454
Train loss: 0.1023, Validation loss: 0.1555, Validation acc: 0.9469
Train loss: 0.1007, Validation loss: 0.1559, Validation acc: 0.9454
Train loss: 0.0993, Validation loss: 0.1860, Validation acc: 0.9340
Train loss: 0.0971, Validation loss: 0.1537, Validation acc: 0.9475
Train loss: 0.0944, Validation loss: 0.1536, Validation acc: 0.9485
Train loss: 0.0923, Validation loss: 0.1516, Validation acc: 0.9486
